Caffeine Intake,Stress Level,Sleep Duration,Light Exposure
0.0,<4,<6,<6
0.0,<4,<6,6-8
0.0,<4,6-8,<6
0.0,<4,>8,6-8
0.0,<4,>8,9-11
0.0,4-6,>8,>11
0.0,<4,6-8,>11
0.0,<4,6-8,>11
0.0,<4,6-8,6-8
0.0,<4,6-8,6-8
0.0,<4,6-8,6-8
0.0,<4,6-8,6-8
0.0,<4,6-8,9-11
0.0,<4,6-8,9-11
0.0,<4,6-8,9-11
0.0,<4,6-8,9-11
0.0,<4,6-8,9-11
0.0,<4,6-8,9-11
0.0,<4,6-8,9-11
0.0,>6,<6,6-8
0.0,>6,<6,9-11
0.0,>6,>8,6-8
0.0,>6,>8,6-8
0.0,>6,>8,9-11
0.0,>6,>8,9-11
0.0,>6,6-8,<6
0.0,>6,6-8,<6
0.0,>6,6-8,6-8
0.0,>6,6-8,6-8
0.0,>6,6-8,6-8
0.0,>6,6-8,6-8
0.0,>6,6-8,6-8
0.0,>6,6-8,6-8
0.0,>6,6-8,6-8
0.0,>6,6-8,9-11
0.0,>6,6-8,9-11
0.0,>6,6-8,9-11
0.0,4-6,<6,<6
0.0,4-6,<6,6-8
0.0,4-6,<6,6-8
0.0,4-6,<6,6-8
0.0,4-6,<6,9-11
0.0,4-6,>8,<6
0.0,4-6,>8,<6
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,6-8
0.0,4-6,>8,9-11
0.0,4-6,6-8,<6
0.0,4-6,6-8,<6
0.0,4-6,6-8,<6
0.0,4-6,6-8,<6
0.0,4-6,6-8,<6
0.0,4-6,6-8,>11
0.0,4-6,6-8,>11
0.0,4-6,6-8,>11
0.0,4-6,6-8,>11
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,6-8
0.0,4-6,6-8,9-11
0.0,4-6,6-8,9-11
0.0,4-6,6-8,9-11
0.0,4-6,6-8,9-11
100.0,<4,<6,6-8
100.0,<4,<6,6-8
100.0,<4,<6,9-11
100.0,<4,<6,9-11
100.0,<4,<6,9-11
100.0,<4,<6,9-11
100.0,<4,<6,9-11
100.0,<4,>8,>11
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
